# Bloque 02 Paso 10 — IDs a actualizar tipo=1 -> tipo=2
# Generado: 2026-04-30 07:16:10
# Regex usados: 3 patterns MENSUAL (validados con sample 50 otras)
# Total filas: 46091
# Backup mysqldump server: ~/backups-bloque-02/asignacion-prerollback-2026-04-30.sql
# Backup sha256: a09f76951b2ce195d0eb5249bc7ed2e6d61d6c571c112afb9c55cfe170604897

# id,tipo_actual,fecha,notas_preview
88,1,2014-12-01,revision mensual
99,1,2014-12-02,REVISION MENSUAL
100,1,2014-12-02,REVISION MENSUAL
101,1,2014-12-02,REVISION MENSUAL
102,1,2014-12-02,REVISION MENSUAL
103,1,2014-12-02,REVISION MENSUAL
104,1,2014-12-02,REVISION MENSUAL
105,1,2014-12-02,REVISION MENSUAL
106,1,2014-12-02,REVISION MENSUAL
107,1,2014-12-02,REVISION MENSUAL
108,1,2014-12-02,REVISION MENSUAL
109,1,2014-12-02,REVISION MENSUAL  
110,1,2014-12-02,revision mensual
115,1,2014-12-02,REVISION MENSUAL
116,1,2014-12-02,REVISION MENSUAL
117,1,2014-12-02,REVISION MENSUAL
119,1,2014-12-02,REVISION MENSUAL
120,1,2014-12-02,REVISION MENSUAL
121,1,2014-12-02,REVISION MENSUAL
122,1,2014-12-02,REVISION MENSUAL
123,1,2014-12-02,REVISION MENSUAL
124,1,2014-12-02,REVISION MENSUAL
125,1,2014-12-02,REVISION MENSUAL
126,1,2014-12-02,REVISION MENSUAL
127,1,2014-12-02,REVISION MENSUAL
128,1,2014-12-02,REVISION MENSUAL
129,1,2014-12-02,REVISION MENSUAL
131,1,2014-12-03,REVISION MENSUAL
132,1,2014-12-03,REVISION MENSUAL
133,1,2014-12-03,REVISION MENSUAL
134,1,2014-12-03,REVISION MENSUAL
135,1,2014-12-03,REVISION MENSUAL
136,1,2014-12-03,REVISION MENSUAL
137,1,2014-12-03,REVISION MENSUAL
138,1,2014-12-03,REVISION MENSUAL
139,1,2014-12-03,REVISION MENSUAL
140,1,2014-12-03,REVISION MENSUAL
148,1,2014-12-05,REVISION MENSUAL
149,1,2014-12-04,REVISION MENSUAL
150,1,2014-12-04,REVISION MENSUAL
151,1,2014-12-04,REVISION MENSUAL
152,1,2014-12-04,REVISION MENSUAL
153,1,2014-12-04,REVISION MENSUAL
154,1,2014-12-04,REVISION MENSUAL
155,1,2014-12-04,REVISION MENSUAL
156,1,2014-12-04,REVISION MENSUAL
157,1,2014-12-04,REVISION MENSUAL
158,1,2014-12-04,REVISION MENSUAL
159,1,2014-12-04,REVISION MENSUAL
160,1,2014-12-04,REVISION MENSUAL
161,1,2014-12-04,REVISION MENSUAL
162,1,2014-12-04,REVISION MENSUAL
163,1,2014-12-04,REVISION MENSUAL
164,1,2014-12-04,REVISION MENSUAL
165,1,2014-12-04,REVISION MENSUAL
166,1,2014-12-04,REVISION MENSUAL
167,1,2014-12-04,REVISION MENSUAL
168,1,2014-12-04,REVISION MENSUAL
169,1,2014-12-04,REVISION MENSUAL
170,1,2014-12-04,REVISION MENSUAL
181,1,2014-12-09,REVISION MENSUAL
182,1,2014-12-09,REVISION MENSUAL
183,1,2014-12-09,REVISION MENSUAL
184,1,2014-12-09,REVISION MENSUAL
185,1,2014-12-09,REVISION MENSUAL
186,1,2014-12-09,REVISION MENSUAL
187,1,2014-12-09,REVISION MENSUAL
188,1,2014-12-10,REVISION MENSUAL
189,1,2014-12-10,REVISION MENSUAL
190,1,2014-12-10,REVISION MENSUAL
191,1,2014-12-10,REVISION MENSUAL
192,1,2014-12-10,REVISION MENSUAL
193,1,2014-12-10,REVISION MENSUAL
194,1,2014-12-10,REVISION MENSUAL
195,1,2014-12-10,REVISION MENSUAL
196,1,2014-12-10,REVISION MENSUAL
197,1,2014-12-10,REVISION MENSUAL
198,1,2014-12-10,REVISION MENSUAL
199,1,2014-12-10,REVISION MENSUAL
200,1,2014-12-10,REVISION MENSUAL
201,1,2014-12-10,REVISION MENSUAL
202,1,2014-12-10,REVISION MENSUAL
203,1,2014-12-10,REVISION MENSUAL
204,1,2014-12-10,REVISION MENSUAL
205,1,2014-12-10,REVISION MENSUAL
206,1,2014-12-10,REVISION MENSUAL
207,1,2014-12-10,REVISION MENSUAL
208,1,2014-12-10,REVISION MENSUAL
209,1,2014-12-10,REVISION MENSUAL
210,1,2014-12-10,REVISION MENSUAL
211,1,2014-12-10,REVISION MENSUAL
212,1,2014-12-10,REVISION MENSUAL
213,1,2014-12-10,REVISION MENSUAL
214,1,2014-12-10,REVISION MENSUAL
215,1,2014-12-10,REVISION MENSUAL
216,1,2014-12-10,REVISION MENSUAL
217,1,2014-12-10,REVISION MENSUAL
218,1,2014-12-10,REVISION MENSUAL
219,1,2014-12-10,REVISION MENSUAL
220,1,2014-12-10,REVISION MENSUAL
221,1,2014-12-09,REVISION MENSUAL
222,1,2014-12-09,REVISION MENSUAL
223,1,2014-12-09,REVISION MENSUAL
224,1,2014-12-09,REVISION MENSUAL
225,1,2014-12-09,REVISION MENSUAL
226,1,2014-12-09,REVISION MENSUAL
227,1,2014-12-09,REVISION MENSUAL
228,1,2014-12-09,REVISION MENSUAL
229,1,2014-12-11,REVISION MENSUAL
230,1,2014-12-11,REVISION MENSUAL
231,1,2014-12-11,REVISION MENSUAL
232,1,2014-12-11,REVISION MENSUAL
233,1,2014-12-11,REVISION MENSUAL
234,1,2014-12-11,REVISION MENSUAL
235,1,2014-12-11,REVISION MENSUAL
236,1,2014-12-11,REVISION MENSUAL
237,1,2014-12-15,REVISION MENSUAL
238,1,2014-12-15,REVISION MENSUAL
239,1,2014-12-15,REVISION MENSUAL
